GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
17143,2000,Peoria County,Illinois,183433,13.7,23484,32.29,490,39978,85800,24,78.47,15.98,2.09,0.2,1.64,0.02,1.45,0.16,877,729,3.1,3.73,0,0,0
17143,2001,Peoria County,Illinois,183433,13.7,23663,32.29,490,39978,85800,24,78.47,15.98,2.09,0.2,1.64,0.02,1.45,0.16,1534,965,4.08,6.48,0,0,0
17143,2002,Peoria County,Illinois,183433,13.7,23843,32.29,490,39978,85800,24,78.47,15.98,2.09,0.2,1.64,0.02,1.45,0.16,1343,708,2.97,5.63,0,0,0
17143,2003,Peoria County,Illinois,183433,13.7,24022,32.29,490,39978,85800,24,78.47,15.98,2.09,0.2,1.64,0.02,1.45,0.16,1418,784,3.26,5.9,0,0,0
17143,2004,Peoria County,Illinois,183433,13.7,24202,32.29,490,39978,85800,24,78.47,15.98,2.09,0.2,1.64,0.02,1.45,0.16,1480,924,3.82,6.12,0,0,0
17143,2005,Peoria County,Illinois,183474,10.16,24381,31.5,658,47702,113700,27.8,75.74,16.8,2.82,0.11,2.36,0.02,1.97,0.18,1435,989,4.06,5.89,0,0,0
17143,2006,Peoria County,Illinois,183474,10.16,24560,31.5,658,47702,113700,27.8,75.74,16.8,2.82,0.11,2.36,0.02,1.97,0.18,1506,973,3.96,6.13,0,0,0
17143,2007,Peoria County,Illinois,183474,10.16,24740,31.5,658,47702,113700,27.8,75.74,16.8,2.82,0.11,2.36,0.02,1.97,0.18,1480,966,3.9,5.98,0,0,0
17143,2008,Peoria County,Illinois,183474,10.16,24919,31.5,658,47702,113700,27.8,75.74,16.8,2.82,0.11,2.36,0.02,1.97,0.18,1481,1010,4.05,5.94,0,0,0
17143,2009,Peoria County,Illinois,183474,10.16,25099,31.5,658,47702,113700,27.8,75.74,16.8,2.82,0.11,2.36,0.02,1.97,0.18,1326,891,3.55,5.28,0,0,0
